State,Hour,Day,Month,Year,Wind_Speed(km/h),Temperature(C),Precipitation(mm),Severity,Predicted_Hour
CA,0,30,11,2022,4.83,3.33,0.0,2,1
OR,16,30,1,2023,0.0,3.33,0.0,2,12
VA,20,24,12,2022,8.04,-5.56,0.0,2,13
FL,13,17,1,2023,19.31,22.78,0.0,2,14
CA,5,9,8,2022,22.53,17.22,0.0,2,11
PA,13,5,11,2022,28.96,23.89,0.0,2,15
OH,7,8,12,2022,0.0,7.22,0.0,2,8
IL,15,1,9,2022,14.48,29.44,0.0,2,16
NJ,15,20,11,2022,35.4,1.67,0.0,2,14
MD,6,20,9,2022,0.0,18.89,0.0,2,5
TX,17,31,12,2022,12.87,21.11,0.0,2,17
FL,8,2,9,2022,11.26,30.0,0.0,3,13
MN,8,17,1,2023,19.31,1.67,0.0,2,10
NY,12,10,8,2022,9.65,26.11,0.0,2,12
CA,14,23,8,2022,14.48,25.56,0.0,2,14
OK,14,26,1,2023,12.87,7.78,0.0,2,13
LA,11,22,12,2022,8.04,11.67,0.0,2,12
NC,0,5,10,2022,0.0,9.44,0.0,2,4
SC,6,17,9,2022,0.0,16.11,0.0,2,6
NC,22,28,1,2023,11.26,7.78,0.0,2,13
VA,22,25,1,2023,32.18,16.11,9.91,2,21
NJ,5,21,12,2022,9.65,-2.78,0.0,2,5
CA,15,16,11,2022,25.74,20.56,0.0,2,15
CA,10,7,10,2022,14.48,23.33,0.0,2,12
OH,16,23,11,2022,0.0,11.11,0.0,2,13
FL,13,24,1,2023,24.14,24.44,0.0,2,13
PA,15,12,10,2022,20.92,20.56,0.0,2,15
GA,21,27,1,2023,0.0,0.56,0.0,2,13
PA,14,26,9,2022,19.31,22.22,0.0,2,14
VA,21,15,9,2022,4.83,20.56,0.0,2,14
IN,1,28,8,2022,9.65,17.22,0.0,2,4
CA,21,17,9,2022,20.92,17.78,0.0,2,16
MT,12,9,11,2022,14.48,-12.22,0.0,2,14
CA,17,19,1,2023,16.09,10.0,0.0,2,16
PA,14,19,1,2023,16.09,3.89,0.25,2,14
PA,9,14,10,2022,4.83,12.78,0.0,2,9
VA,10,15,1,2023,20.92,2.78,0.0,2,11
MD,11,6,12,2022,4.83,7.78,0.0,2,12
CA,11,22,12,2022,9.65,17.78,0.0,2,12
OH,15,22,11,2022,12.87,13.33,0.0,2,15
CA,12,17,11,2022,0.0,23.33,0.0,2,13
VA,16,23,9,2022,19.31,21.11,0.0,2,15
NY,16,18,1,2023,24.14,6.11,0.0,2,16
MN,12,27,1,2023,35.4,-5.56,0.0,2,11
VA,21,19,11,2022,4.83,4.44,0.0,2,18
PA,16,29,9,2022,22.53,17.78,0.0,2,16
NE,17,22,11,2022,0.0,6.11,0.0,2,17
CA,9,1,9,2022,8.04,21.67,0.0,2,8
SC,11,13,8,2022,14.48,27.22,0.0,2,14
CA,9,20,1,2023,19.31,10.0,0.0,2,10
FL,22,9,9,2022,8.04,25.56,0.0,2,19
SC,17,5,8,2022,11.26,32.78,0.0,2,16
FL,17,28,1,2023,25.74,23.33,0.0,2,15
CA,17,21,11,2022,11.26,9.44,0.0,2,14
NY,2,4,10,2022,16.09,8.89,2.79,2,2
NY,4,28,9,2022,19.31,13.89,0.0,2,11
SC,10,6,1,2023,12.87,10.56,0.0,2,10
VA,0,3,10,2022,16.09,11.11,0.0,2,4
CA,14,8,12,2022,0.0,16.11,0.0,2,12
FL,20,3,11,2022,19.31,21.67,0.0,2,18
IL,13,30,1,2023,16.09,-10.56,0.0,2,13
TX,12,9,10,2022,4.83,28.89,0.0,2,14
FL,14,11,10,2022,16.09,31.11,0.0,2,15
VA,2,23,11,2022,0.0,0.56,0.0,2,6
OH,11,20,1,2023,28.96,1.67,0.0,2,11
WA,21,12,10,2022,8.04,13.89,0.0,2,20
FL,7,2,11,2022,4.83,25.0,0.0,2,9
PA,11,24,9,2022,8.04,14.44,0.0,2,13
VA,17,30,1,2023,0.0,13.89,0.0,2,16
FL,10,11,11,2022,25.74,27.78,0.0,2,11
PA,15,18,1,2023,19.31,3.89,0.0,2,15
CA,7,28,9,2022,11.26,22.22,0.2104570154231863,2,9
FL,6,22,9,2022,8.04,25.0,0.0,2,6
CA,2,28,8,2022,8.04,26.11,0.0,2,11
GA,16,21,8,2022,12.87,30.0,0.0,2,15
CA,9,19,1,2023,12.87,10.0,0.0,2,12
FL,17,9,10,2022,12.87,30.0,0.0,2,16
NY,21,30,9,2022,8.04,15.56,0.0,2,19
NY,7,22,12,2022,14.48,1.11,0.0,2,9
PA,13,4,11,2022,19.31,20.0,0.0,2,13
CA,16,7,10,2022,33.79,18.89,0.0,2,14
CA,5,3,1,2023,9.65,5.56,0.0,2,6
PA,9,19,9,2022,11.26,23.33,0.0,2,11
WV,4,23,1,2023,4.83,1.67,0.51,2,6
CA,14,7,10,2022,19.31,25.56,0.0,2,14
CA,20,23,1,2023,14.48,3.89,0.0,2,10
CA,8,11,8,2022,8.04,21.11,0.0,2,9
CT,17,11,11,2022,9.65,18.89,0.25,2,16
TN,12,23,1,2023,4.83,7.78,0.0,2,12
AZ,18,30,1,2023,4.83,12.78,0.0,2,18
PA,7,4,9,2022,0.0,20.0,0.0,2,8
NY,17,11,8,2022,19.31,27.22,0.0,2,16
LA,16,9,9,2022,11.26,30.56,0.0,2,16
NC,15,14,9,2022,12.87,29.44,0.0,2,16
PA,17,5,10,2022,9.65,15.56,0.0,2,16
CA,23,5,1,2023,0.0,10.0,0.0,2,19
OH,7,2,11,2022,0.0,5.56,0.0,2,8
LA,14,3,11,2022,11.26,28.89,0.0,2,14
CA,3,5,8,2022,14.48,19.44,0.0,2,6
MT,12,15,12,2022,0.0,-6.11,0.0,2,12
DE,9,6,9,2022,8.04,21.67,13.21,2,10
NV,22,1,9,2022,9.65,21.11,0.0,2,18
CA,21,23,8,2022,12.87,32.22,0.0,2,18
TX,8,2,9,2022,0.0,23.89,0.0,2,8
CT,10,20,1,2023,11.26,3.33,0.0,2,12
TX,6,8,12,2022,12.87,21.67,0.0,2,12
GA,15,8,12,2022,14.48,23.89,0.0,2,14
CA,16,14,12,2022,8.04,12.22,0.0,2,15
GA,21,3,12,2022,9.65,15.0,0.0,2,19
MN,13,1,11,2022,8.04,18.89,0.0,2,12
FL,16,13,1,2023,33.79,15.56,0.0,2,16
GA,10,19,1,2023,25.74,22.78,0.0,2,15
FL,7,24,12,2022,24.14,0.0,0.0,2,9
LA,8,12,12,2022,9.65,18.33,0.0,2,9
OH,18,16,1,2023,4.83,2.22,0.0,2,17
FL,18,17,8,2022,0.0,30.56,0.0,2,14
CA,7,22,9,2022,0.0,12.22,0.2104570154231863,2,7
IL,16,7,11,2022,20.92,11.11,0.0,2,15
TX,15,7,12,2022,12.87,27.78,0.0,2,15
ID,13,5,10,2022,4.83,25.0,0.0,2,13
CA,20,8,12,2022,14.48,2.78,0.0,2,12
NY,6,7,9,2022,22.53,19.44,0.0,2,7
MT,16,14,12,2022,4.83,-1.67,0.0,2,16
OH,17,20,12,2022,4.83,2.22,0.0,2,15
FL,12,3,9,2022,19.31,32.22,0.0,2,13
MN,3,19,1,2023,11.26,0.0,0.0,2,4
TX,6,1,12,2022,4.83,0.0,0.0,2,10
TX,6,17,10,2022,22.53,18.33,6.1,2,9
SC,14,1,8,2022,27.35,34.44,0.0,2,16
NY,13,21,8,2022,16.09,27.78,0.0,2,14
CA,17,22,11,2022,4.83,18.33,0.0,2,16
OH,18,14,12,2022,9.65,8.89,0.0,2,17
NJ,7,23,1,2023,9.65,3.89,0.0,2,13
MN,8,22,12,2022,14.48,-24.44,0.0,2,8
PA,16,9,9,2022,14.48,26.67,0.0,2,16
UT,15,20,8,2022,16.09,13.89,13.72,2,13
CT,17,3,1,2023,4.83,4.44,0.0,2,15
CA,16,16,9,2022,16.09,28.33,0.0,2,14
CA,4,24,1,2023,0.0,3.89,0.0,2,4
TX,18,19,11,2022,9.65,3.89,0.0,2,15
PA,17,11,11,2022,12.87,21.11,0.0,2,17
VA,12,4,12,2022,14.48,6.11,0.0,2,14
WI,17,2,9,2022,11.26,27.78,0.0,2,16
FL,15,13,8,2022,16.09,23.89,0.51,2,14
KY,16,11,11,2022,8.04,15.0,0.0,2,15
CA,14,7,11,2022,16.09,17.78,0.0,2,13
WI,16,5,9,2022,8.04,23.89,0.0,2,16
SC,2,5,10,2022,9.65,13.33,0.0,2,5
GA,5,3,12,2022,8.04,10.56,0.0,2,8
AL,14,8,12,2022,14.48,25.0,0.0,2,15
CA,21,18,12,2022,0.0,9.44,0.0,2,17
CA,22,10,8,2022,0.0,15.0,0.0,2,17
FL,6,21,9,2022,8.04,26.67,0.0,2,7
CA,2,18,8,2022,0.0,22.22,0.0,2,4
IL,16,25,8,2022,14.48,27.22,0.0,3,16
MS,8,1,12,2022,11.26,5.56,0.0,2,11
PA,16,8,10,2022,12.87,13.33,0.0,2,13
IL,6,22,8,2022,9.65,18.33,0.0,3,6
CA,8,19,8,2022,4.83,16.11,0.0,1,7
CA,7,22,1,2023,8.04,6.11,0.0,2,8
TX,20,14,12,2022,4.83,12.22,0.0,2,15
SC,15,16,9,2022,0.0,30.0,0.0,2,15
CA,17,19,12,2022,0.0,13.89,0.2104570154231863,2,17
OH,11,24,12,2022,38.62,-16.11,0.0,2,10
CA,19,16,9,2022,9.65,25.56,0.0,2,17
CA,13,27,1,2023,0.0,18.89,0.2104570154231863,2,13
IN,6,21,12,2022,9.65,-3.89,0.0,2,7
CA,18,20,9,2022,0.0,20.0,0.0,2,11
NY,4,9,8,2022,12.87,23.33,0.0,2,8
CA,14,7,10,2022,16.09,33.89,0.0,2,15
AZ,8,30,8,2022,11.26,24.44,0.0,2,8
SC,19,22,9,2022,0.0,27.78,0.0,2,18
CA,19,15,1,2023,0.0,8.89,0.51,2,11
NJ,15,29,8,2022,19.31,29.44,0.0,2,15
CA,21,1,12,2022,0.0,14.44,0.0,2,18
NC,9,13,8,2022,0.0,21.11,0.0,2,12
WI,17,8,11,2022,9.65,7.78,0.0,2,14
NC,12,2,12,2022,0.0,11.67,0.0,2,14
MI,17,16,12,2022,28.96,-1.11,1.27,2,14
NY,5,22,11,2022,12.87,2.78,0.0,2,7
CA,14,19,1,2023,14.48,12.78,0.0,2,14
CT,20,5,11,2022,9.65,18.33,0.0,2,15
CA,17,7,11,2022,14.48,11.67,0.0,2,17
CA,10,8,8,2022,0.0,27.78,0.0,2,10
CA,7,11,12,2022,14.48,12.22,0.0,2,9
AL,12,21,8,2022,4.83,24.44,1.27,2,12
MI,13,10,11,2022,20.92,21.67,0.0,2,14
MO,19,2,9,2022,0.0,21.67,0.0,2,14
NY,17,22,12,2022,20.92,6.67,0.25,2,16
MN,7,20,9,2022,14.48,19.44,0.0,2,8
NC,1,14,12,2022,0.0,0.0,0.0,2,3
CA,13,28,12,2022,0.0,12.78,0.0,2,12
PA,21,23,12,2022,37.01,-20.56,0.0,2,17
VA,19,2,8,2022,0.0,27.78,0.0,2,18
CA,16,15,12,2022,0.0,8.89,0.0,2,13
WA,1,16,8,2022,4.83,17.22,0.0,2,3
TX,8,3,11,2022,8.04,21.67,0.0,2,9
FL,10,18,11,2022,8.04,25.0,0.0,2,11
MS,17,17,11,2022,11.26,7.22,0.0,2,16
OR,13,4,9,2022,8.04,26.67,0.0,2,14
TN,7,1,12,2022,11.26,1.11,0.0,2,8
CA,21,19,9,2022,0.0,7.22,1.02,2,15
NC,10,10,12,2022,9.65,8.89,0.0,2,16
CA,10,23,11,2022,0.0,19.44,0.0,2,13
CO,11,6,12,2022,9.65,-4.44,0.0,2,8
SC,15,12,10,2022,9.65,21.11,0.0,2,15
OH,17,30,1,2023,11.26,0.0,0.0,2,15
CA,13,12,10,2022,9.65,30.0,0.0,2,14
CA,15,22,1,2023,9.65,14.44,0.0,2,14
VA,23,28,1,2023,9.65,5.56,0.0,2,20
TN,16,9,8,2022,20.92,30.56,0.0,3,15
FL,19,26,12,2022,0.0,2.22,0.0,2,18
CA,9,20,8,2022,9.65,23.89,0.0,1,11
OH,8,27,1,2023,22.53,-5.0,0.0,2,9
NC,12,27,1,2023,8.04,7.78,0.0,2,13
NY,7,2,9,2022,9.65,15.56,0.0,2,7
PA,11,7,11,2022,14.48,20.0,0.0,2,13
CA,13,10,8,2022,16.09,27.22,0.0,2,14
CA,13,11,8,2022,14.48,37.22,0.0,2,13
WA,14,4,11,2022,33.79,13.33,1.27,2,14
CA,15,6,9,2022,12.87,32.78,0.0,3,16
CA,16,19,11,2022,8.04,11.67,0.0,2,15
CA,14,18,11,2022,4.83,21.11,0.0,2,14
AZ,21,11,10,2022,0.0,11.67,0.0,2,15
CA,15,9,11,2022,4.83,5.0,0.0,2,14
AR,10,2,1,2023,19.31,20.56,0.0,2,13
CA,19,3,9,2022,11.26,26.11,0.0,2,11
OH,10,9,11,2022,19.31,12.78,0.0,2,11
NY,13,15,9,2022,14.48,21.11,0.0,2,13
NJ,16,7,10,2022,14.48,23.89,0.0,2,15
OK,10,22,12,2022,25.74,-14.44,0.0,2,11
SC,13,2,10,2022,12.87,21.11,0.0,2,14
MN,16,21,12,2022,12.87,-17.78,0.76,2,17
CA,21,10,10,2022,9.65,20.0,0.0,2,21
TN,10,9,12,2022,4.83,14.44,0.0,2,12
VA,15,9,11,2022,8.04,14.44,0.0,2,15
CA,7,16,1,2023,16.09,11.67,0.0,2,13
AZ,10,21,9,2022,14.48,27.22,4.06,2,11
CA,16,1,12,2022,4.83,16.67,0.0,2,17
NY,16,16,10,2022,4.83,18.89,0.0,2,17
CA,7,21,9,2022,0.0,16.11,0.0,2,8
CA,12,10,11,2022,11.26,20.56,0.0,2,13
TX,10,17,12,2022,16.09,9.44,0.0,2,11
TN,15,17,1,2023,12.87,20.0,0.0,2,13
NY,10,4,10,2022,19.31,10.0,0.0,2,11
GA,22,14,12,2022,9.65,8.33,2.79,2,20
CA,2,13,1,2023,20.92,10.56,0.25,2,5
CA,17,24,8,2022,16.09,36.11,0.0,2,17
TX,16,26,8,2022,14.48,31.11,0.0,2,16
TN,19,12,8,2022,16.09,27.22,0.0,2,17
SC,8,24,1,2023,4.83,-3.89,0.0,2,8
TX,17,26,8,2022,12.87,35.0,0.0,2,15
CA,9,25,8,2022,14.48,32.22,0.0,2,11
CA,19,23,12,2022,0.0,11.11,0.0,2,15
SC,14,29,12,2022,8.04,18.89,0.0,2,14
FL,7,9,12,2022,9.65,22.22,0.0,2,16
PA,20,3,8,2022,0.0,27.22,0.0,2,19
NY,20,18,9,2022,4.83,23.89,0.0,2,17
OR,17,1,12,2022,4.83,2.22,0.0,2,17
NJ,18,31,12,2022,0.0,10.56,0.0,2,16
NY,22,11,8,2022,9.65,26.11,0.0,2,11
NJ,19,30,8,2022,19.31,27.22,0.0,2,13
TX,12,10,12,2022,19.31,23.33,0.0,2,13
CA,10,29,8,2022,0.0,30.0,0.0,2,10
OR,7,31,12,2022,8.04,-7.22,0.0,2,8
FL,14,6,8,2022,12.87,28.89,0.0,2,12
MT,15,31,10,2022,25.74,17.22,0.0,2,16
CA,5,10,12,2022,11.26,2.78,0.0,2,6
VA,0,14,1,2023,28.96,2.78,0.0,2,1
PA,20,20,8,2022,8.04,25.56,0.0,2,17
AR,8,2,9,2022,0.0,22.78,0.76,2,11
FL,19,25,9,2022,12.87,29.44,0.0,2,14
FL,7,7,10,2022,9.65,21.67,0.0,2,8
CA,13,2,9,2022,20.92,40.0,0.0,2,14
TX,13,2,11,2022,12.87,21.11,0.0,2,18
FL,12,7,12,2022,19.31,26.11,0.0,2,13
MO,6,23,9,2022,11.26,12.22,0.0,2,8
KS,8,23,1,2023,8.04,-6.11,0.0,2,8
TX,13,6,9,2022,12.87,32.22,0.0,2,13
LA,6,6,9,2022,8.04,26.11,0.0,2,8
WA,6,22,9,2022,25.74,14.44,0.0,2,9
IL,17,7,12,2022,8.04,5.0,0.0,2,16
ID,17,17,11,2022,12.87,-1.11,0.0,2,14
FL,18,14,10,2022,20.92,26.67,0.0,2,18
FL,6,16,1,2023,4.83,7.78,0.0,2,8
TX,18,3,9,2022,0.0,27.22,0.0,2,15
CA,19,20,11,2022,4.83,5.0,0.0,2,15
KS,19,16,11,2022,11.26,-2.22,0.0,2,16
CA,8,8,11,2022,8.04,7.22,0.76,2,8
MD,9,13,10,2022,12.87,16.11,0.2104570154231863,2,9
TX,14,14,8,2022,9.65,35.56,0.0,3,15
CA,18,18,9,2022,33.79,22.78,0.0,2,17
NY,13,28,9,2022,11.26,19.44,0.0,2,14
NC,7,18,1,2023,8.04,8.89,0.0,2,8
VA,8,3,11,2022,0.0,12.78,0.0,2,12
NC,19,19,1,2023,24.14,19.44,0.0,2,17
CT,17,7,9,2022,14.48,22.22,0.0,2,16
AZ,7,4,8,2022,19.31,31.67,0.0,2,9
NC,16,24,1,2023,14.48,12.22,0.0,2,16
TX,22,13,1,2023,0.0,2.22,0.0,2,17
TX,7,30,1,2023,24.14,-3.33,0.0,2,7
AZ,8,1,10,2022,14.48,21.67,0.0,2,11
FL,16,8,11,2022,27.35,28.33,0.0,2,16
PA,22,25,9,2022,4.83,12.78,0.0,2,16
NC,14,30,9,2022,33.79,15.56,4.06,2,15
MD,10,7,12,2022,14.48,11.11,0.25,2,10
OR,14,1,11,2022,11.26,10.56,0.0,2,14
FL,10,21,12,2022,19.31,15.56,0.0,2,10
IL,11,20,9,2022,19.31,21.67,0.0,2,12
TX,16,26,1,2023,9.65,15.0,0.0,2,15
MN,9,4,1,2023,16.09,1.11,0.0,2,10
FL,12,9,11,2022,28.96,25.0,0.0,2,12
FL,15,4,10,2022,14.48,29.44,0.0,2,14
VA,9,18,8,2022,4.83,24.44,0.0,2,10
PA,11,16,9,2022,0.0,21.11,0.0,2,14
FL,17,15,11,2022,8.04,23.89,0.0,2,18
OR,17,10,10,2022,11.26,22.22,0.0,2,15
FL,11,5,8,2022,22.53,29.44,0.0,2,12
NY,17,11,11,2022,33.79,20.0,0.51,2,17
CO,9,5,8,2022,0.0,24.44,0.0,2,9
SC,13,5,9,2022,0.0,22.78,0.0,2,11
AR,12,26,9,2022,12.87,27.78,0.0,2,12
MN,15,29,9,2022,19.31,21.11,0.0,2,14
MI,12,21,8,2022,8.04,21.67,0.0,2,12
FL,21,9,11,2022,49.88,24.44,5.08,2,17
CA,11,25,12,2022,4.83,28.33,0.0,2,12
IL,13,3,1,2023,9.65,6.11,0.0,2,9
NY,19,29,8,2022,28.96,26.67,0.0,2,18
LA,6,11,10,2022,4.83,12.78,0.0,2,7
NY,12,1,8,2022,11.26,20.56,0.25,3,10
OR,18,8,12,2022,22.53,0.56,0.0,2,16
CA,14,27,8,2022,16.09,24.44,0.0,2,14
CA,17,23,9,2022,8.04,30.56,0.0,2,16
CA,12,15,1,2023,25.74,3.89,0.25,2,12
TX,19,12,11,2022,8.04,10.56,0.0,2,16
CA,7,26,9,2022,8.04,15.0,0.0,2,7
MO,17,1,12,2022,22.53,8.33,0.0,2,15
VA,16,3,12,2022,16.09,16.67,0.0,2,16
AZ,17,16,12,2022,4.83,8.33,0.0,2,13
MT,8,14,12,2022,25.74,-3.89,0.51,2,11
PA,12,5,9,2022,4.83,22.22,0.25,2,11
CO,21,15,10,2022,14.48,12.22,0.0,2,17
FL,17,1,11,2022,14.48,30.0,0.0,2,14
MT,9,14,12,2022,0.0,-4.44,0.51,2,12
TX,13,22,8,2022,4.83,23.89,0.0,4,12
PA,13,13,8,2022,9.65,23.89,0.0,2,12
SC,5,31,8,2022,0.0,20.0,0.0,2,5
VA,6,22,8,2022,8.04,19.44,0.25,2,7
NC,18,24,1,2023,0.0,8.33,0.0,2,17
CA,14,11,8,2022,11.26,30.0,0.0,2,14
FL,6,4,8,2022,14.48,28.89,0.0,2,8
CA,0,2,11,2022,22.53,10.0,0.0,2,12
NY,15,13,8,2022,4.83,25.0,0.0,2,16
OH,17,15,11,2022,0.0,3.33,0.0,2,16
GA,18,1,12,2022,0.0,7.78,0.0,2,16
VA,17,30,12,2022,11.26,15.56,0.0,2,16
CA,3,5,10,2022,0.0,18.89,0.0,2,6
PA,15,29,1,2023,14.48,6.11,0.0,2,8
TN,17,12,9,2022,8.04,24.44,0.0,2,15
CA,22,13,12,2022,0.0,2.78,0.0,2,16
CA,11,29,9,2022,8.04,18.33,0.0,2,13
PA,12,24,8,2022,11.26,28.89,0.0,2,13
VA,7,11,10,2022,4.83,6.11,0.0,2,8
GA,17,18,1,2023,4.83,17.22,0.0,2,17
SC,9,14,9,2022,8.04,20.56,0.0,2,10
NJ,8,1,10,2022,14.48,11.67,0.0,2,11
TX,15,1,11,2022,14.48,18.89,0.51,2,9
FL,11,13,11,2022,9.65,25.0,0.0,2,12
OH,2,1,12,2022,8.04,-4.44,0.0,2,16
MS,11,18,8,2022,12.87,23.33,1.27,2,12
DC,15,18,11,2022,20.92,8.33,0.0,2,15
FL,20,5,9,2022,9.65,28.89,0.0,2,20
SC,17,13,9,2022,20.92,28.33,0.0,2,16
PA,7,15,12,2022,0.0,-1.11,1.27,2,9
CA,9,19,11,2022,32.18,19.44,0.0,2,11
MO,17,10,9,2022,24.14,16.67,0.0,2,16
GA,6,12,8,2022,9.65,22.22,0.0,2,7
NE,16,13,10,2022,37.01,14.44,0.0,2,15
TX,6,18,12,2022,0.0,0.0,0.0,2,6
NC,18,30,8,2022,14.48,30.56,0.0,2,17
CA,19,27,12,2022,9.65,13.89,0.51,2,13
TX,11,14,12,2022,22.53,10.0,0.0,2,12
CA,13,22,9,2022,12.87,27.78,0.0,2,13
TX,20,29,9,2022,11.26,25.0,0.2104570154231863,2,17
MD,18,23,8,2022,19.31,28.89,0.0,2,17
TN,3,2,10,2022,11.26,15.0,0.0,2,5
NY,10,8,10,2022,19.31,11.67,0.0,2,10
CA,11,14,1,2023,14.48,11.11,5.08,2,11
MT,0,11,10,2022,11.26,8.89,0.0,2,3
PA,2,20,8,2022,0.0,20.0,0.0,2,7
TX,11,14,9,2022,8.04,28.89,0.0,2,12
PA,0,11,8,2022,4.83,18.89,0.0,2,3
CA,15,16,12,2022,11.26,19.44,0.0,2,15
CA,19,31,8,2022,14.48,30.0,0.0,2,19
FL,14,8,9,2022,4.83,23.33,4.32,1,14
TX,13,6,9,2022,8.04,33.33,0.0,4,13
WA,16,10,9,2022,11.26,29.44,0.0,2,16
MI,14,23,12,2022,57.92,-15.56,0.0,2,15
UT,20,25,12,2022,11.26,2.22,0.0,2,19
FL,10,20,1,2023,12.87,14.44,0.0,2,11
NC,1,8,10,2022,4.83,15.56,0.0,2,5
WA,6,1,9,2022,8.04,15.56,0.0,1,7
CA,22,6,11,2022,14.48,15.0,0.0,2,17
VA,13,29,1,2023,12.87,8.33,0.0,2,12
TX,11,7,10,2022,8.04,30.0,0.0,2,12
SC,15,13,9,2022,9.65,25.56,0.0,2,15
MT,10,31,12,2022,4.83,0.56,0.0,2,11
PA,21,10,12,2022,14.48,3.33,0.0,2,17
SC,1,21,1,2023,9.65,7.78,0.0,2,10
WI,14,13,11,2022,4.83,0.0,0.0,2,13
MD,15,23,9,2022,37.01,18.89,0.0,2,15
CA,14,16,12,2022,4.83,9.44,0.0,2,15
AZ,16,30,12,2022,8.04,15.0,0.0,2,16
TX,19,31,10,2022,9.65,18.33,0.0,2,18
MI,17,1,8,2022,25.74,27.78,0.0,2,15
AR,15,14,8,2022,0.0,35.0,0.0,2,14
FL,19,20,11,2022,14.48,17.22,3.3,2,18
PA,14,10,11,2022,9.65,19.44,0.0,2,13
CA,14,2,10,2022,16.09,26.11,0.0,2,15
PA,8,14,12,2022,9.65,-2.78,0.0,2,10
NC,16,29,8,2022,22.53,32.22,0.0,3,16
FL,7,15,8,2022,4.83,23.33,0.0,2,6
GA,11,6,11,2022,4.83,26.67,0.0,2,15
VA,7,10,8,2022,0.0,22.78,0.0,2,9
MN,3,15,12,2022,11.26,0.56,0.25,2,5
CA,13,10,12,2022,22.53,14.44,1.27,2,13
CA,9,5,1,2023,25.74,14.44,0.25,2,10
CA,15,22,9,2022,8.04,33.89,0.0,2,15
SC,18,7,11,2022,0.0,22.22,0.0,2,17
NC,4,1,8,2022,0.0,21.11,0.0,2,12
CA,6,31,12,2022,20.92,14.44,10.16,2,9
AZ,0,4,8,2022,22.53,34.44,0.0,2,6
NJ,22,9,10,2022,4.83,11.11,0.0,2,13
MN,16,9,12,2022,19.31,-0.56,0.0,2,15
CA,5,8,8,2022,0.0,22.22,0.0,2,5
FL,15,3,8,2022,9.65,33.33,0.0,2,15
LA,20,15,12,2022,0.0,5.56,0.0,2,19
WA,13,9,10,2022,16.09,21.67,0.0,2,13
SC,7,13,10,2022,4.83,18.33,0.0,2,8
CA,20,5,1,2023,0.0,11.67,0.0,2,12
MN,17,12,10,2022,35.4,8.33,0.0,2,16
OH,14,17,10,2022,22.53,8.33,0.0,2,15
KS,18,13,10,2022,24.14,20.56,0.0,2,17
TN,18,28,8,2022,11.26,28.89,0.0,2,14
CA,5,27,9,2022,8.04,21.11,0.0,2,6
CO,7,24,8,2022,0.0,20.0,0.0,2,7
FL,12,9,11,2022,11.26,22.78,0.0,2,12
VA,11,7,12,2022,12.87,15.56,0.0,2,12
WA,18,19,12,2022,0.0,1.67,0.0,2,15
CA,16,23,9,2022,14.48,32.22,0.0,2,16
VA,15,21,9,2022,8.04,30.0,0.0,2,14
GA,21,18,12,2022,11.26,-1.11,0.0,2,17
PA,7,12,10,2022,0.0,4.44,0.0,2,7
MO,6,15,11,2022,4.83,0.0,0.51,2,10
SC,18,16,12,2022,12.87,10.0,0.0,2,16
CA,9,6,1,2023,11.26,12.78,0.0,2,8
TX,18,29,8,2022,14.48,30.0,0.0,2,16
TX,6,30,8,2022,9.65,25.0,0.0,2,8
LA,7,6,10,2022,0.0,15.56,0.0,2,8
CA,17,15,9,2022,12.87,27.22,0.0,2,16
MI,12,24,12,2022,32.18,-9.44,0.0,2,13
DC,16,29,8,2022,20.92,30.56,0.0,2,16
CA,18,9,10,2022,16.09,23.89,0.0,2,17
MI,18,2,11,2022,11.26,13.89,0.0,2,16
NY,8,19,9,2022,11.26,18.33,0.0,2,7
TN,17,9,8,2022,27.35,26.11,2.29,2,16
CA,16,19,9,2022,11.26,22.22,0.0,2,15
AR,16,19,9,2022,0.0,35.56,0.0,2,16
PA,12,13,1,2023,24.14,2.22,0.0,2,14
NC,9,15,10,2022,9.65,17.22,0.0,2,13
NC,13,22,11,2022,8.04,14.44,0.0,2,13
VA,14,18,9,2022,8.04,28.33,0.0,2,14
CA,13,29,9,2022,11.26,29.44,0.0,2,14
VA,13,2,10,2022,19.31,16.67,0.51,2,15
MN,16,14,12,2022,25.74,2.78,0.0,2,14
AZ,6,22,11,2022,0.0,9.44,0.0,2,15
TN,14,7,11,2022,9.65,25.0,0.0,2,13
CA,16,5,12,2022,14.48,16.11,0.0,2,14
LA,9,6,1,2023,11.26,10.56,0.0,2,10
CA,12,10,12,2022,11.26,13.89,0.0,2,16
FL,5,23,1,2023,4.83,22.22,0.0,2,8
MN,10,28,1,2023,20.92,-16.11,0.0,2,12
TX,0,6,9,2022,14.48,23.89,0.0,2,4
FL,20,30,12,2022,4.83,21.11,0.0,2,14
PA,22,8,10,2022,9.65,6.67,0.0,2,20
SC,17,14,8,2022,9.65,28.33,0.0,2,16
CA,21,11,10,2022,9.65,20.0,0.0,2,20
TX,7,12,12,2022,19.31,12.22,0.0,2,8
FL,21,15,1,2023,4.83,10.0,0.0,2,20
MO,14,19,1,2023,33.79,4.44,0.0,2,13
OH,16,20,11,2022,9.65,-2.22,0.0,2,14
VA,12,6,9,2022,4.83,28.89,0.0,2,12
FL,11,3,1,2023,19.31,27.22,0.0,2,12
VA,11,15,1,2023,25.74,0.0,0.0,2,11
ID,17,4,11,2022,20.92,5.0,0.0,2,17
